,carat,cut,color,clarity,depth,table,x,y,z,group,price_predicted
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1.0,1338.1934743216664
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,1.0,4455.394020959899
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1.0,1356.8487783817986
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1.0,1637.194908435069
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,1.0,9726.043477178626
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1.0,712.3761813606891
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1.0,2059.924320983708
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,0.0,5863.550438984373
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1.0,1012.7252100578307
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,1.0,620.3771532313793
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,1.0,595.4725871543834
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,0.0,5882.828217572251
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,1.0,534.3344872082741
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,1.0,801.6409316176049
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,1.0,4037.0245080600944
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,1.0,592.7390265713804
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1.0,1641.4559754864886
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1.0,1372.856867750905
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1.0,1565.0285232330184
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1.0,916.9849523140507
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1.0,1173.7599053725553
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,1.0,627.6704425464236
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,1.0,4019.655715285474
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,1.0,2559.3002918636953
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1.0,2154.226989404976
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,1.0,611.0458691862866
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,1.0,2257.2620995075968
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,1.0,3375.683982823152
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,1.0,4019.655715285474
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,1.0,2210.4982138830833
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,0.0,10006.594095015058
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,0.0,9847.15524035943
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1.0,1202.5102333167845
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,1.0,5183.05198547248
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,0.0,18319.229226538733
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,1.0,7412.689149905084
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1.0,1211.385557166106
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,1.0,2474.3059436263084
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,1.0,5837.746718309924
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,0.0,5215.947421493088
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,1.0,5162.446814230553
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,1.0,3008.739877193238
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,0.0,4714.242850636409
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,0.0,10559.99955703979
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1.0,1183.3772048578767
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1.0,771.5322515511212
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,1.0,465.73250521179096
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,1.0,646.5483696116556
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,1.0,3096.7780813095587
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1.0,782.9117302672322
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,0.0,4730.630469945273
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1.0,1753.797764433736
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,,2760.0814252811706
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1.0,1767.5179589110503
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,1.0,418.19662239280046
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1.0,1174.7120522645203
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,0.0,8038.950722078502
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,1.0,564.8790814713223
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1.0,1093.6275504215341
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,0.0,9583.562257276046
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,0.0,4186.066917604588
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,1.0,667.6391743782281
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1.0,1363.4956503330347
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,1.0,6605.220630134993
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,0.0,4843.291331365208
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,0.0,3411.619066859431
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,1.0,3180.7676171564467
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,1.0,531.9455086265513
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,0.0,4553.777663061431
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,1.0,3515.2228314507825
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1.0,1328.181719614176
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1.0,1255.123886828349
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1.0,1753.797764433736
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,0.0,4037.276031921175
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,1.0,4656.6940396824875
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,1.0,4833.954239362204
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,1.0,3401.449895851629
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,0.0,3663.7409038634974
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1.0,626.1670794474949
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,0.0,9060.871803461454
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1.0,805.0685476261425
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,0.0,5027.542328980239
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,1.0,7724.8271474641
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1.0,532.7674138046023
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1.0,951.5084521412185
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1.0,2288.1152569939172
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,1.0,3730.26993586358
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,1.0,3719.0217364294385
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,1.0,3437.9711751516206
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,0.0,4598.899272646743
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,1.0,3090.3416772365385
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1.0,987.5227109664687
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,1.0,771.4567602495504
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0.0,10919.491160621737
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,0.0,5728.471744580792
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1.0,1603.2612866739998
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,1.0,547.438488425127
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,0.0,12359.951618422861
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0.0,12098.940150656721
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,1.0,620.2778938351697
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,,1387.798576931558
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,0.0,6029.421249653807
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,1.0,683.9922974303543
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1.0,1806.621261300325
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,1.0,3551.56832710965
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1.0,1033.4561465512506
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1.0,732.4438057995761
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,0.0,5399.8797187505725
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,0.0,8244.941054126792
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1.0,1900.8452633905522
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1.0,762.1461505597164
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1.0,1937.6096875413534
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,0.0,3858.977973839575
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1.0,1424.0366454062603
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,0.0,4194.858750740127
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,0.0,4868.4704767203875
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,0.0,6117.749250738882
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,0.0,16090.45299838693
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,0.0,11535.04210421012
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,0.0,12306.936578159137
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1.0,595.9633308334288
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,1.0,2558.604595773045
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,1.0,3527.0833679289017
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,,7695.6775771813645
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1.0,1437.4170889100794
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1.0,2303.146095329045
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,0.0,5349.522530310621
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1.0,1572.1106462728944
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,0.0,9113.492824651907
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,,1367.0852275647037
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,0.0,9457.213200143811
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,1.0,6686.490454360418
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,0.0,11939.794491028346
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,1.0,3241.667053907606
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1.0,918.8918232695821
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,0.0,15489.214359882892
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,1.0,601.0704002500145
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1.0,1654.2273708043515
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,1.0,4424.967598225698
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,0.0,5162.889818079272
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,0.0,6251.46215200377
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,,1678.788223723626
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1.0,1424.5972717854195
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,0.0,4217.226697130601
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,0.0,3567.4462698517254
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,1.0,2911.901345896182
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1.0,1327.4071333261204
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,1.0,2589.9771392422585
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,1.0,3552.82095185644
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,0.0,5077.962557616586
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,1.0,2723.0301204577218
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,1.0,6088.6808210288
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,1.0,2635.699462464402
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,1.0,5949.637475710141
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,,2560.741336268983
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,,3199.1135528225345
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,0.0,14396.851894532823
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1.0,955.3658645172994
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,1.0,3204.9507501725066
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,1.0,3545.485336760542
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,0.0,15047.586554380689
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,1.0,2871.099499972375
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,1.0,3005.334734016745
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1.0,929.42968471964
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,1.0,684.0067140672921
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,1.0,766.7265162049503
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,0.0,6696.259350342241
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,0.0,12032.305299114794
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,0.0,4803.495907184657
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1.0,1219.5081202406466
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,1.0,2633.2209056639836
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,1.0,5808.120026609029
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,0.0,2644.978551991114
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1.0,849.3689706835283
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1.0,716.5591049404645
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,1.0,2197.7093596390405
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,1.0,6571.948406204925
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,0.0,7390.907113122491
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,1.0,5691.656244562084
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,1.0,409.8571468569716
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1.0,531.0093432189419
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1.0,968.051537784615
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,1.0,2375.4607811046694
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1.0,1304.25953752207
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,1.0,644.4976962065621
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,1.0,4773.925920584493
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1.0,1296.5846751536653
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,,6507.2252084999245
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1.0,1335.3802079376762
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,1.0,3451.5068218456145
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1.0,1280.1094340385134
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,0.0,4037.276031921175
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,1.0,627.6704425464236
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,0.0,4266.524898184498
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,0.0,7127.001355474483
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,0.0,3865.5351844606225
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,1.0,5740.286090739334
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,1.0,3433.04331988295
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1.0,2092.222905970502
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,1.0,3011.0871871653876
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,1.0,568.4981030061887
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,1.0,2855.943310958345
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,0.0,5950.74509110775
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,0.0,9000.914566314548
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,0.0,8395.709157636466
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,1.0,2474.3059436263084
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1.0,1324.5697870117424
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1.0,1558.3899195463316
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1.0,1428.1604557990595
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,1.0,827.2655314318318
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1.0,1491.8806443315239
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,1.0,2538.014678227468
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,0.0,8991.827556787062
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,0.0,7529.962821470854
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,0.0,5203.272907509449
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1.0,1258.4733225541697
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1.0,1245.712549768228
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1.0,1160.6624899550818
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,1.0,683.9922974303543
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,0.0,6037.418612638147
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1.0,1165.8236450429386
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1.0,1054.4841615989524
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1.0,1370.366487273742
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,1.0,685.6255005725391
