,carat,cut,color,clarity,depth,table,x,y,z,group,price_predicted
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1,1386.415404686359
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1,1545.6445573711826
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,1,4649.304875394521
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1,872.4773055497499
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,1,2892.9001625054784
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,1,3009.9755130895715
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1,1210.4435574670802
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,0,7057.620068411019
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1,1439.2724746128868
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,1,6159.720698838564
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,1,641.9520709467362
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,1,425.6887237336508
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1,852.8667298197842
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,1,765.7307172666593
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,1,452.5606668250013
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,1,686.5931649618891
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,0,14047.378118526945
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,1,5101.3677115149685
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,0,8688.248323452157
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1,1118.3408457178386
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1,979.8757516057623
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,0,3959.3860998783703
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1,1605.1241037457835
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,1,4672.530548994469
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,0,6607.889852938641
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,1,570.0269516859953
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,1,2932.705754305463
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,0,10520.029514713851
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1,317.89151372366626
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,1,2705.3431343629472
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,0,5992.725651461393
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,0,4306.291910862856
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1,1810.5879314423878
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1,1307.615302944229
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,1,3744.6469160648508
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1,1354.0664188545027
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1,1671.1548905681313
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,0,10012.725386967686
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1,708.916611075121
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1,1914.0263355346274
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,0,6059.691463629351
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1,940.3564871223098
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,1,632.2587830274277
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,1,597.3451537414871
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,0,6010.989996552464
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,1,589.3217451251584
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,1,794.4428200747552
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,1,4222.140363126018
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,1,601.3590625881737
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1,1548.8143688247653
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1,1318.766546998011
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1,1471.208920989543
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1,959.3453985878888
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1,1223.8025659400325
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,1,618.4742304455938
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,1,4245.806370591557
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,1,2574.829100700758
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1,2043.3090661698684
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,1,591.4054174459022
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,1,2265.313744686782
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,1,3014.548675300642
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,1,4245.806370591557
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,1,2198.5048014046442
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,0,9704.857577523439
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,0,10046.003268495488
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1,1307.4540494212458
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,1,5305.153404419297
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,0,18109.38083434546
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,1,7146.4105592544975
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1,1150.2688278586636
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,1,2487.865839356981
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,0,5882.672915678157
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,1,4992.836195525053
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,1,4951.6057045730995
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,1,2752.799442837011
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,1,4772.209844995379
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,0,10247.099316411457
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1,1155.1769021618916
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1,742.4516170119853
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,1,455.69200701187026
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,1,657.4627323492572
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,1,2841.3290493107215
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1,765.7307172666593
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,1,4839.646459237904
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1,1656.7446479215819
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,0,3916.9658046310174
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1,1662.3279013351807
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,1,387.74539162977004
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1,1152.3388346344407
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,0,8674.692950539318
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,1,619.7904677401976
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1,1038.5957868889564
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,1,8556.683474974154
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,1,4272.239088185245
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,1,639.4369493257092
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1,1495.3556156654834
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,0,6701.51150175354
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,1,4376.496451836558
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,1,3219.2304579776974
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,1,2914.948026308171
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,1,521.3972629263427
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,0,4674.905437083485
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,1,3866.3449635367433
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1,1256.4384003316718
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1,1239.473574043246
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1,1656.7446479215819
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,1,4114.849939295855
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,1,4701.672700988238
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,1,4877.284419960224
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,1,3392.2460588657327
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,1,3745.0137305936346
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1,606.6464236507643
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,0,10063.742369050775
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1,867.8220534594697
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,0,5097.066891248674
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,0,7160.039138770892
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1,541.7789984907969
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1,1003.0049392478979
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1,2190.846014523002
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,1,3776.179435078423
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,1,3909.2544024563836
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,1,3173.9045551423014
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,1,4606.314457612214
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,1,2824.124613327196
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1,978.8430145816457
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,1,755.6456839419333
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0,10905.47784418916
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,0,5829.438555965398
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1,1545.3964740364383
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,1,600.9281225881394
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,0,13612.077415962092
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0,12041.236587658344
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,1,682.4066133502124
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1,1625.7330344257362
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,1,5685.34989379272
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,1,658.3762552885817
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1,1942.4953289213827
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,1,3308.2204114898122
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1,987.7833537885783
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1,800.7998352363848
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,1,5303.2006277047785
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,0,8607.549130158704
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1,2085.1639027799865
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1,792.2228860612714
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1,1872.0199907602184
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,0,4112.602196459453
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1,1365.7650653344415
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,1,4186.178770487645
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,1,4760.943551700434
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,0,5939.714500333048
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,0,15398.284294465131
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,0,11905.489858933028
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,0,12192.270135551042
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1,547.585885395465
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,1,2812.057641261855
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,1,3706.112534508973
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,13760.38833405811
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1,1359.3362560026026
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1,2369.060158261779
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,1,5051.356899773962
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1,1563.450327288808
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,0,9569.823032068181
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1,1590.9059507538086
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,0,9063.78900087883
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,0,6537.280587403807
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,0,12253.524562605337
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,1,3246.1479250344296
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1,906.8197356735253
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,0,14755.692633691113
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,1,659.5080360127723
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1,1497.0009167165188
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,1,3788.903063194534
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,1,4658.199868741691
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,0,6880.658778189189
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1,1780.5387748343753
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1,1415.5070519980222
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,1,4312.777608018407
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,0,3808.766766906143
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,1,2928.378408221129
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,1292.7157239642881
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,1,2638.3553518765357
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,1,3584.5803630773707
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,0,5164.378213963138
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,1,2780.713278040336
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,0,6255.662982640826
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,1,2486.994108985758
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,1,6531.045913439041
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,0,3293.499947399907
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,1,4099.022911819969
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,0,14401.541266064884
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1,974.0327757103864
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,1,3106.2132053647892
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,1,3547.901142051417
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,0,15547.69239202999
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,1,2899.647313137493
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,1,2787.603872314827
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1,946.5197915542855
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,1,695.7132481043038
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,1,756.1105246455352
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,1,6363.494364180713
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,0,12251.562332868747
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,1,4863.979798453513
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1,1150.3881318110432
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,1,2471.9351945844746
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,1,6372.725898013834
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,2500.4278280799504
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1,864.1659098894476
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1,744.512828190763
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,1,2205.256385521442
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,1,6925.585967176356
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,0,7365.940948982968
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,1,5540.005093895286
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,1,375.76531918836264
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1,491.17049746677156
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1,922.259194842569
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,1,2213.9870194541204
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1,1405.723025463487
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,1,636.3149000241402
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,1,3973.4436782913212
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1,1246.9276218433022
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,0,9641.085551158916
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1,1277.6766621552988
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,1,3458.296507523263
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1,1319.567476692805
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,1,4114.849939295855
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,1,618.4742304455938
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,1,4282.016044111622
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,0,7222.064057864589
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,1,3683.6704666510173
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,0,5907.7905831167045
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,1,3441.799217937583
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1,1961.1209570934022
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,1,3017.0234357704176
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,1,571.195628520397
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,1,2914.0983311076993
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,0,5765.087208178756
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,1,8105.482170047735
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,0,7595.682705697226
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,1,2487.865839356981
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1,1321.663967783393
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1,1621.9456769555222
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1,1566.9616019085438
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,1,814.9922057392873
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1,1468.424243978424
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,1,2544.584805279162
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,0,9086.126950886262
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,0,7330.0580445204305
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,0,5271.039388753717
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1,1304.4608869103097
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1,1276.0261784120164
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1,1131.9886946537722
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,1,658.3762552885817
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,1,5836.7499772547535
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1,1061.133888226131
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1,1018.7885769663053
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1,1286.6763117820303
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,1,675.076204726265
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,0,11321.249050311115
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,0,6496.614335473577
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,0,6075.549253126611
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,0,9767.354749525526
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,1,857.677788472422
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,0,19083.971364067012
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,1,4863.979798453513
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,1,687.3274103017952
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,0,14389.322559635377
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,1,2264.316373162157
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,1,2855.636881073218
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,0,10009.208631956672
